Frame,X,Y
726,474,927
727,473,928
728,474,929
729,474,930
730,473,929
731,473,928
732,473,927
733,473,927
734,473,929
735,473,929
736,474,928
737,474,928
738,473,927
739,1054,657
740,1044,594
741,1036,537
742,1030,488
743,1029,447
744,1027,408
745,1025,371
746,1022,337
747,1020,302
748,1017,269
749,1015,236
750,1013,204
751,1012,171
752,1010,139
753,1008,106
754,1007,85
755,1006,95
756,1005,115
757,1004,132
758,1003,146
759,1001,157
760,1000,165
761,999,175
762,999,183
763,999,191
764,1001,197
765,1007,203
766,1012,206
767,1019,209
768,1025,213
769,1031,217
770,1030,218
771,1023,218
772,1017,218
773,1011,219
774,1006,219
775,1003,219
776,1005,215
777,1009,212
778,1012,207
779,1014,201
780,1017,195
781,1020,189
782,1023,183
783,1025,175
784,1028,169
785,1031,160
786,1032,154
787,1033,145
788,1035,133
789,1039,121
790,1043,108
791,1048,100
792,1053,100
793,1057,108
794,1061,120
795,1065,131
796,1070,142
797,1074,152
798,1078,155
799,1079,153
800,1079,144
801,1078,133
802,1079,123
803,1080,111
804,1082,101
805,1084,99
806,1085,103
807,1087,113
808,1089,123
809,1092,133
810,1095,143
811,1098,150
812,1101,150
813,1105,143
814,1109,135
815,1113,126
816,1119,117
817,1124,108
818,1130,102
819,1136,103
820,1142,111
821,1147,119
822,1154,127
823,1160,135
824,1167,142
825,1174,147
826,1182,153
827,1190,158
828,1198,163
829,1207,166
830,1215,168
831,1220,161
832,1225,152
833,1229,143
834,1235,133
835,1241,123
836,1248,113
837,1255,103
838,1263,99
839,1270,103
840,1278,112
841,1287,121
842,1297,129
843,1306,135
844,1313,135
845,1320,131
846,1324,121
847,1328,109
848,1333,99
849,1338,96
850,1343,101
851,1349,111
852,1355,122
853,1361,126
854,1369,124
855,1377,115
856,1387,106
857,1396,99
858,1405,98
859,1415,103
860,1425,111
861,1436,119
862,1447,127
863,1461,130
864,1475,129
865,1490,127
866,1505,127
867,1521,125
868,1538,124
869,1555,123
870,1573,121
871,1591,119
872,1606,117
873,1610,115
874,1601,115
875,1585,115
876,1570,114
877,1555,113
878,1541,113
879,1528,112
880,1515,110
881,1504,109
882,1493,107
883,1483,104
884,1474,103
885,1466,106
886,1459,108
887,1451,110
888,1445,112
889,1440,113
890,1436,115
891,1432,116
892,1429,117
893,1427,117
894,1425,119
895,1424,119
896,1424,119
897,1425,119
898,1427,118
899,1428,117
900,1430,115
901,1432,112
902,1434,109
903,1436,105
904,1439,103
905,1444,107
906,1448,110
907,1453,113
908,1459,114
909,1466,115
910,1473,115
911,1481,115
912,1489,115
913,1498,116
914,1507,116
915,1518,116
916,1528,115
917,1540,115
918,1552,115
919,1565,114
920,1578,113
921,1592,111
922,1603,109
923,1605,106
924,1598,105
925,1585,103
926,1574,103
927,1562,105
928,1552,107
929,1543,109
930,1534,111
931,1525,113
932,1518,114
933,1511,114
934,1506,114
935,1501,114
936,1496,115
937,1492,115
938,1489,116
939,1487,116
940,1485,117
941,1484,117
942,1485,116
943,1486,115
944,1488,113
945,1491,112
946,1494,111
947,1497,109
948,1501,106
949,1506,103
950,1512,103
951,1518,105
952,1525,106
